id,longitude,latitude,height
1,-122.39053,37.61779,-27.32
2,-122.39035,37.61803,-27.32
3,-122.39019,37.61826,-27.32
4,-122.39006,37.6185,-27.32
5,-122.38985,37.61864,-27.32
6,-122.39005,37.61874,-27.32
7,-122.39027,37.61884,-27.32
8,-122.39057,37.61898,-27.32
9,-122.39091,37.61912,-27.32
10,-122.39121,37.61926,-27.32
11,-122.39153,37.61937,-27.32
12,-122.39175,37.61948,-27.32
13,-122.39207,37.6196,-27.32
14,-122.39247,37.61983,-27.32
15,-122.39253,37.62005,-27.32
16,-122.39226,37.62048,-27.32
17,-122.39207,37.62075,-27.32
18,-122.39186,37.62106,-27.32
19,-122.39172,37.62127,-27.32
20,-122.39141,37.62174,-27.32
21,-122.39097,37.62227,-27.32
22,-122.39061,37.6224,-27.31
23,-122.39027,37.62249,-27.31
24,-122.38993,37.62256,-27.31
25,-122.3895,37.62267,-27.31
26,-122.3889,37.62256,-27.31
27,-122.38854,37.62242,-27.31
28,-122.38814,37.62225,-27.31
29,-122.38778,37.62209,-27.31
30,-122.38744,37.62195,-27.31
31,-122.38671,37.62164,-27.31
32,-122.38638,37.62151,-27.31
33,-122.38604,37.62136,-27.31
34,-122.38571,37.62123,-27.31
35,-122.38512,37.62098,-27.31
36,-122.3848,37.62084,-27.31
37,-122.38453,37.62074,-27.31
38,-122.38425,37.62062,-27.3
39,-122.38397,37.62049,-27.3
40,-122.38372,37.62039,-27.3
41,-122.3835,37.6203,-27.3
42,-122.38324,37.62019,-27.3
43,-122.38271,37.61996,-27.3
44,-122.38248,37.61986,-27.3
45,-122.38191,37.61962,-27.3
46,-122.38159,37.6195,-27.3
47,-122.38126,37.61935,-27.3
48,-122.38058,37.61906,-27.3
49,-122.38026,37.61894,-27.3
50,-122.37955,37.61863,-27.3
51,-122.37913,37.61847,-27.3
52,-122.3781,37.61813,-27.3
53,-122.37763,37.61799,-27.29
54,-122.37663,37.61768,-27.29
55,-122.37617,37.61753,-27.29
56,-122.37561,37.61736,-27.29
57,-122.37532,37.61727,-27.29
58,-122.37506,37.61718,-27.29
59,-122.37468,37.61704,-27.29
60,-122.37436,37.61689,-27.29
61,-122.37402,37.61674,-27.29
62,-122.37362,37.61657,-27.29
63,-122.3732,37.6164,-27.29
64,-122.37235,37.61604,-27.29
65,-122.37198,37.61588,-27.29
66,-122.3716,37.61573,-27.28
67,-122.3712,37.61555,-27.28
68,-122.37032,37.61518,-27.28
69,-122.36938,37.61476,-27.28
70,-122.36872,37.6143,-27.28
71,-122.36811,37.61387,-27.28
72,-122.36747,37.61352,-27.28
73,-122.36672,37.61321,-27.28
74,-122.36602,37.61292,-27.28
75,-122.3655,37.61269,-27.28
76,-122.36498,37.61247,-27.27
77,-122.3639,37.61203,-27.27
78,-122.36337,37.6118,-27.27
79,-122.36254,37.61146,-27.27
80,-122.36203,37.61124,-27.27
81,-122.36154,37.61103,-27.27
82,-122.36106,37.61082,-27.27
83,-122.36029,37.61052,-27.27
84,-122.35989,37.61048,-27.27
85,-122.35953,37.61055,-27.27
86,-122.35922,37.61074,-27.26
87,-122.35893,37.61117,-27.26
88,-122.35875,37.61144,-27.26
89,-122.35865,37.61171,-27.26
90,-122.35889,37.612,-27.26
91,-122.35923,37.61211,-27.26
92,-122.35954,37.61222,-27.26
93,-122.36029,37.61253,-27.27
94,-122.36184,37.61317,-27.27
95,-122.36823,37.61588,-27.28
96,-122.37163,37.61728,-27.28
97,-122.38041,37.62096,-27.3
98,-122.38548,37.6231,-27.31
99,-122.3905,37.6252,10.79
100,-122.39517,37.62721,56.5
101,-122.40037,37.62955,125.07
102,-122.40507,37.63171,186.03
103,-122.41457,37.63623,292.69
104,-122.42428,37.64062,384.12
105,-122.42896,37.64261,429.83
106,-122.43398,37.6447,483.17
107,-122.44357,37.64859,582.21
108,-122.45319,37.65243,643.16
109,-122.4639,37.65678,719.35
110,-122.47395,37.66081,803.15
111,-122.47922,37.66286,841.25
112,-122.48441,37.66489,879.34
113,-122.49505,37.66933,970.77
114,-122.5003,37.67162,993.62
115,-122.51083,37.67647,1024.08
116,-122.51626,37.67999,1039.31
117,-122.52048,37.68431,1046.93
118,-122.52323,37.68939,1069.79
119,-122.52456,37.69482,1092.65
120,-122.5255,37.70298,1115.52
121,-122.52602,37.70943,1138.38
122,-122.52634,37.71574,1161.25
123,-122.51643,37.73744,1245.12
124,-122.50723,37.74465,1283.25
125,-122.50024,37.74957,1313.75
126,-122.4864,37.75959,1397.6
127,-122.47231,37.77008,1504.31
128,-122.45805,37.78079,1626.25
129,-122.44339,37.79173,1755.82
130,-122.42878,37.80263,1893.01
131,-122.41031,37.81632,2045.44
132,-122.39535,37.82744,2175
133,-122.3808,37.8382,2304.56
134,-122.36244,37.85177,2472.23
135,-122.34698,37.86317,2601.79
136,-122.33206,37.87422,2716.11
137,-122.31736,37.88505,2830.42
138,-122.29758,37.89967,2982.85
139,-122.28344,37.91011,3089.54
140,-122.2672,37.9221,3142.9
141,-122.25107,37.93401,3196.25
142,-122.235,37.94586,3241.98
143,-122.21102,37.96354,3318.19
144,-122.19532,37.97507,3386.77
145,-122.17095,37.99296,3523.94
146,-122.15459,38.00497,3630.63
147,-122.10188,38.04364,3927.88
148,-122.05068,38.08113,4247.98
149,-121.99834,38.11944,4552.84
150,-121.94544,38.15803,4842.46
151,-121.89173,38.19722,5116.83
152,-121.83744,38.23672,5368.34
153,-121.78076,38.27786,5619.88
154,-121.67054,38.35774,6001.09
155,-121.56262,38.4366,6488.97
156,-121.46884,38.52786,6984.57
157,-121.37305,38.62742,7442.27
158,-121.27969,38.72305,7869.52
159,-121.18384,38.82103,8114.16
160,-121.0849,38.92167,8419.92
161,-120.98819,39.01978,8664.74
162,-120.88629,39.12269,8917.28
163,-120.77951,39.23016,9108.83
164,-120.67163,39.33836,9376.26
165,-120.5672,39.44264,9612.99
166,-120.4577,39.55152,9910.45
167,-120.35071,39.65748,10040.03
168,-120.24274,39.76404,10040.03
169,-120.12367,39.86746,10040.02
170,-119.9956,39.97069,10040.05
171,-119.86682,40.07272,10040.2
172,-119.74329,40.17004,10040.38
173,-119.61475,40.27084,10040.57
174,-119.48225,40.37425,10040.77
175,-119.36212,40.46764,10040.95
176,-119.23717,40.56432,10041.15
177,-119.11108,40.66152,10041.4
178,-118.9834,40.75946,10041.66
179,-118.85547,40.85713,10041.97
180,-118.72528,40.95625,10042.26
181,-118.59631,41.05385,10042.52
